crop,nculture,planting_date,planting_data
Maize,SumMaize,15-Nov,Maize
Tomato,SumVege,15-Nov,
SugarCane,Sugarcane,15-Nov,
PaddyRice,SumRice,15-Nov,Rice
Soybean,Soybeans,15-Nov,Soybeans
Potato,Potato,15-Nov,Potatoes
Cotton,SumCotton,15-Nov,Cotton
Sorghum,Sorghum,15-Nov,Sorghum
DryBean,SumBeans,15-Nov,Pulses
